timestamp,close,SMA50,SMA200,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2016-01-04 05:00:00+00:00,17.229,,,0.0,,0.0,,0.0,,,,
2016-01-05 05:00:00+00:00,17.1934,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,,
2016-01-06 05:00:00+00:00,17.2645,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-07 05:00:00+00:00,17.3195,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-08 05:00:00+00:00,17.33,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-11 05:00:00+00:00,17.25,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-12 05:00:00+00:00,17.49,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-13 05:00:00+00:00,17.534,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-14 05:00:00+00:00,17.5201,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-15 05:00:00+00:00,17.45,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-19 05:00:00+00:00,17.506,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-20 05:00:00+00:00,17.44,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-21 05:00:00+00:00,17.51,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-22 05:00:00+00:00,17.46,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-25 05:00:00+00:00,17.535,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-26 05:00:00+00:00,17.507,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-27 05:00:00+00:00,17.65,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-28 05:00:00+00:00,17.38,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-01-29 05:00:00+00:00,17.43,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-02-01 05:00:00+00:00,17.51,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
2016-02-02 05:00:00+00:00,17.675,,,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,0.0,0.0
